OBJECTID,Id_Jardin,Nombre,Barrio,Tipologia,Area,Zona,Distrito_Municipal,geo_point_2d
1765,99111905,CARRERA DEL RIO - ENTRADA VALERO (ROTONDA),PINEDO,Acompañamiento Viario,1080.86000152,SUR,POBLES DEL SUD,"39.41903933124047, -0.3396583382596964"
1773,99110116,ENCARNACION PL,PILAR,Jardines,178.99181974,SUR,CIUTAT VELLA,"39.47387419938841, -0.38373957512480333"
1792,99110936,TOMAS DE VILLARROYA C,CREU COBERTA,Jardines,3740.825683225,SUR,JESUS,"39.44786323752617, -0.3882359461446964"
1795,99110702,ANTONIO RUEDA C - TRES FORQUES C,TRES FORQUES,Jardines,3169.75946365,SUR,OLIVERETA,"39.46434266170723, -0.3969216898848317"
1798,99120521,JARDIN DE MORVEDRE,MORVEDRE,Parques Urbanos,4956.385093505,NORTE,SAIDIA,"39.48570448663428, -0.3738399246657853"
1805,99120443,A7,SANT PAU,Parques Urbanos,5143.07483741,NORTE,CAMPANAR,"39.488281204133045, -0.3995002344705078"
1811,99111046,PEDAGOGO PESTALOZZI PL,MONT-OLIVET,Jardines,5700.01741695,SUR,QUATRE CARRERES,"39.45714570452176, -0.36530693030270667"
1815,99110729,PECHINA PSO - CASTAN TOBEÑAS C (PARQUE DE LA PECHINA),NOU MOLES,Jardines,8627.87322065,SUR,OLIVERETA,"39.47293856010168, -0.4040108771807767"
1818,99110821,IMPRESOR MONFORT C,PATRAIX,Jardines,951.815525505,SUR,PATRAIX,"39.462285370005866, -0.393546156575451"
1819,99110813,DELS TRAGINERS C,VARA DE QUART,Acompañamiento Viario,804.029331445,SUR,PATRAIX,"39.457840430878825, -0.40627111033055946"
1820,99111063,PAI MALILLA NORTE,MALILLA,Acompañamiento Viario,2920.059795725,SUR,QUATRE CARRERES,"39.447247743509095, -0.37350948077962515"
1832,99110307,MARTIN EL HUMANO C - LITERATO GABRIEL MIRO C,PETXINA,Jardines,100.41938784,SUR,EXTRAMURS,"39.471961452877736, -0.39172986843233415"
1834,99110134,REINA PL,SEU,Jardines,3271.980200635,SUR,CIUTAT VELLA,"39.47453365878349, -0.3754108586140078"
1838,99110114,DON JUAN DE VILLARRASA PL,MERCAT,Jardines,2096.13833744,SUR,CIUTAT VELLA,"39.47395757219879, -0.38082355734348566"
1850,99111927,RIO SEGURA PL,FORN D'ALCEDO,Jardines,796.536250655,SUR,POBLES DEL SUD,"39.43196304639634, -0.37562895541669394"
1865,99111049,PLATA AV - PROFESOR LOPEZ PIÑERO,CIUTAT DE LES ARTS I DE LES CIENCIES,Acompañamiento Viario,2444.763501125,SUR,QUATRE CARRERES,"39.45836876431017, -0.35795658957382887"
1884,99120440,PARQUE DE CABECERA,SANT PAU,Parques Urbanos,161306.416000675,TURIA,CAMPANAR,"39.47660835404445, -0.40854428397152287"
1902,99110136,TETUAN PL,XEREA,Acompañamiento Viario,230.25337666,SUR,CIUTAT VELLA,"39.47409205245481, -0.3698945278866142"
1912,99110742,MIQUEL ADLERT NOGUEROL PL,LLUM,Jardines,9259.014664475,SUR,OLIVERETA,"39.467852810125784, -0.41199628058952265"
1913,99110113,CONDE DE CARLET PL,SEU,Acompañamiento Viario,32.18077475,SUR,CIUTAT VELLA,"39.47761539977804, -0.37294166819357044"
1934,99100526,Ávila Pl,TRINITAT,Jardines,241.19059522,NORTE,SAIDIA,"39.4812434850131, -0.37015973140439135"
1938,99101336,Los Naranjos Av (Politécnico),LA CARRASCA,Acompañamiento Viario,6025.81807439,NORTE,ALGIROS,"39.47879087608917, -0.34115547609413666"
1951,99100448,Benavites C - Molino de la Marquesa C,CAMPANAR,Jardines,1195.451590155,NORTE,CAMPANAR,"39.483936558770225, -0.3988941517347147"
1955,99100611,Doctor Juan Regla C,MESTALLA,Acompañamiento Viario,1026.121039235,NORTE,PLA DEL REIAL,"39.47357503828452, -0.35852864140284385"
1959,99101628,José M Gimenez Fayos (Historiador i Públic) Pl y Adyacentes,BENICALAP,Jardines,19575.333681295,NORTE,BENICALAP,"39.49575184034799, -0.38617877068309825"
1965,99101636,Río Nervión C,BENICALAP,Jardines,6531.261318915,NORTE,BENICALAP,"39.49597036347304, -0.3821684802901971"
1969,99101239,Menorca C - Ibiza C - Baleares Av,PENYA-ROJA,Acompañamiento Viario,4767.73371893,NORTE,CAMINS AL GRAU,"39.459462680416905, -0.34243709319725724"
1970,99101622,Vicente Andrés Estellés Pl,BENICALAP,Jardines,1591.00505784,NORTE,BENICALAP,"39.49062810701468, -0.3927101313520453"
1975,99101803,Les Penyetes C,BENIMAMET,Jardines,59.745579,NORTE,POBLATS DE L`OEST,"39.501168659742106, -0.416815327891371"
1976,99101804,Canónigo Fenollar C (Velódromo),BENIMAMET,Acompañamiento Viario,3809.22233923,NORTE,POBLATS DE L`OEST,"39.50093761018678, -0.42601797557792204"
1978,99101704,San Benito Pl (Mahuella),MAHUELLA-TAULADELLA,Jardines,408.329658375,NORTE,POBLATS DEL NORD,"39.54424839738183, -0.33375859504684907"
1980,99100507,Just RamÍrez C (I),TORMOS,Jardines,6550.1074477,NORTE,SAIDIA,"39.48912265836962, -0.37898498292452965"
1981,99100631,Xàbia C,CIUTAT UNIVERSITARIA,Acompañamiento Viario,97.856576195,NORTE,PLA DEL REIAL,"39.47864697429946, -0.35681395432616186"
1982,99101713,Senent Ibáñez C (Massarrojos),MASSARROJOS,Jardines,1896.470391805,NORTE,POBLATS DEL NORD,"39.54060372248427, -0.40610178607484504"
1985,99101532,San Juan Bosco C - Santiago Rusiñol C,ELS ORRIOLS,Jardines,2161.348063525,NORTE,RASCANYA,"39.49667900308615, -0.3690608759242038"
1987,99100428,Aparicio Albiñana C,CAMPANAR,Bulevar,1458.440168805,NORTE,CAMPANAR,"39.484185776108944, -0.39744939395634304"
1990,99101309,Músico Ginés C,CIUTAT JARDI,Bulevar,6253.779917705,NORTE,ALGIROS,"39.47046438171626, -0.34300261503002566"
1998,99101316,Rubén Dario C,LA VEGA BAIXA,Acompañamiento Viario,2474.511189525,NORTE,ALGIROS,"39.47843762368397, -0.35239232734691023"
2003,99100520,Sagunto C (Núm 116),SANT ANTONI,Jardines,328.17735929,NORTE,SAIDIA,"39.487160963078495, -0.3747619230257577"
2009,99101134,Juan Mercader C - Serrería C,CABANYAL-CANYAMELAR,Acompañamiento Viario,246.516198035,NORTE,POBLATS MARITIMS,"39.469324862988096, -0.33444749271238855"
2010,99101319,Jose María Orense Pl,LA CARRASCA,Jardines,1194.14658774,NORTE,ALGIROS,"39.47263945694447, -0.3399942287144029"
2019,99100625,Arquitectos Calvo Pl,MESTALLA,Jardines,3541.341666055,NORTE,PLA DEL REIAL,"39.46663153877753, -0.3590085644238915"
2023,99101717,Moncada Cmno Ermita (Borbotó),BORBOTO,Jardines,1008.511714165,NORTE,POBLATS DEL NORD,"39.51847381163544, -0.3870665572411294"
2029,99101151,Doctor Lluch C - Pescadors C (Espacio Lúdico),CABANYAL-CANYAMELAR,Jardines,4768.770047985,NORTE,POBLATS MARITIMS,"39.46902407856988, -0.32760308971491386"
2030,99101147,Músico Moreno Gans Pl,LA MALVA-ROSA,Jardines,4884.95390542,NORTE,POBLATS MARITIMS,"39.47976184215221, -0.33189616859226057"
2032,99101146,Oset,LA MALVA-ROSA,Jardines,1710.661719075,NORTE,POBLATS MARITIMS,"39.475953315647494, -0.3293373743147564"
2033,99101302,Cedro Pl,CIUTAT JARDI,Jardines,5247.287087015,NORTE,ALGIROS,"39.47166507118388, -0.34713422781811604"
2037,99101216,Asturias C - Andrés Mancebo C,PENYA-ROJA,Jardines,2183.64146645,NORTE,CAMINS AL GRAU,"39.46423048795465, -0.35557684260828426"
2038,99100404,Iglesia de Campanar Pl,CAMPANAR,Jardines,1697.28887196,NORTE,CAMPANAR,"39.48225940900398, -0.3971153274877161"
2039,99101342,Jesús Martínez Guerricabeita (Cementerio Cabañal),LA CARRASCA,Acompañamiento Viario,25.31997773,NORTE,ALGIROS,"39.47573146229249, -0.338747734165439"
2044,99101144,Luis Peixó C - Marino Blas de Lezo C,CABANYAL-CANYAMELAR,Acompañamiento Viario,3693.4455184,NORTE,POBLATS MARITIMS,"39.47428211057106, -0.33380724915635984"
2049,99101124,Blasco Ibáñez Av (V),BETERO,Bulevar,9591.480416775,NORTE,POBLATS MARITIMS,"39.47061068350323, -0.336505519193998"
2050,99100515,Doctor Peset Aleixandre Av,MARXALENES,Acompañamiento Viario,1889.95518206,NORTE,SAIDIA,"39.4898259369204, -0.3840153177198063"
2052,99101421,Emili Beut i Belenguer (Geógraf i Historiador) Pl,CAMI DE VERA,Jardines,2519.08928947,NORTE,BENIMACLET,"39.48936365581019, -0.35706250607222756"
2054,99100420,Badajoz Pl y Laterales,CAMPANAR,Jardines,2738.854985315,NORTE,CAMPANAR,"39.48149558752232, -0.39905274397187324"
2064,99101404,Real de Gandía C - Urbanista Antonio Sancho Pl,CAMI DE VERA,Jardines,4943.02694304,NORTE,BENIMACLET,"39.48670863306239, -0.354473159758496"
2068,99101242,Vicente Beltrán Grimal (Escultor) C - Islas Canarias C,LA CREU DEL GRAU,Jardines,550.95963892,NORTE,CAMINS AL GRAU,"39.463359206176506, -0.34724754513728895"
2070,99100627,Islas Canarias C - Antiga Senda Senent C,MESTALLA,Acompañamiento Viario,1758.09047665,NORTE,PLA DEL REIAL,"39.46719209110155, -0.3585867181359582"
2072,99101228,José Aguilar C,AIORA,Jardines,263.45693074,NORTE,CAMINS AL GRAU,"39.4630185554887, -0.34162252981725216"
2075,99101631,Levante U.D. Av,BENICALAP,Bulevar,3344.180049605,NORTE,BENICALAP,"39.49591728830121, -0.38882950976622493"
2079,99100450,Riola C - Tamarindos Av,SANT PAU,Jardines,2372.804339225,NORTE,CAMPANAR,"39.47983922587749, -0.4026103655618513"
2086,99101125,Profesor Santiago Grisolía Pl,BETERO,Acompañamiento Viario,255.700735325,NORTE,POBLATS MARITIMS,"39.469889324326566, -0.3369175348914892"
2093,99101514,Valladolid Av (Núm 16),SANT LLORENS,Jardines,1489.489909525,NORTE,RASCANYA,"39.48900125142075, -0.36099496613733806"
2098,99100509,Joaquin Dualde Pl,MARXALENES,Jardines,1766.658868895,NORTE,SAIDIA,"39.48801868066505, -0.3869373255714381"
2099,99100431,Padre Fullana C y Adyacentes,CAMPANAR,Jardines,904.49973356,NORTE,CAMPANAR,"39.482421717457065, -0.39308323584923655"
2101,99101410,Ingeniero Vicente Pichó C,CAMI DE VERA,Jardines,674.22781928,NORTE,BENIMACLET,"39.48898343429135, -0.35622365556317487"
2104,99100444,Alqueria de Ricos C,SANT PAU,Jardines,16478.756612955,NORTE,CAMPANAR,"39.48349686014045, -0.40387197500531724"
2109,99100430,Policía Local Pl y Adyacentes,SANT PAU,Jardines,3381.723689615,NORTE,CAMPANAR,"39.47919455161548, -0.40117890515505655"
2113,99100613,Polo y Peyrolón C,MESTALLA,Jardines,1167.68802156,NORTE,PLA DEL REIAL,"39.473810136808886, -0.3549846337899476"
2115,99101155,Justo Vilar C - Ernesto Anastasio C  (Mercado Cabanyal),CABANYAL-CANYAMELAR,Jardines,839.97214836,NORTE,POBLATS MARITIMS,"39.46760695821525, -0.33303281786149846"
2117,99100508,Just Ramírez C (II),TORMOS,Jardines,726.839664985,NORTE,SAIDIA,"39.48983101733006, -0.37626556510846815"
2121,99101412,Doctor García Brustenga C,BENIMACLET,Jardines,3274.613370765,NORTE,BENIMACLET,"39.48043783397284, -0.3574753045280261"
2124,99100521,Almazora C - Ministro Luis Mayans C,MORVEDRE,Jardines,4414.650777365,NORTE,SAIDIA,"39.48659458085665, -0.3709544594247811"
2125,99101234,Equipo Crónica Pl,CAMI FONDO,Jardines,3989.503925385,NORTE,CAMINS AL GRAU,"39.46446664930844, -0.3511047963858318"
2127,99101701,De la Solidaridad C y Adyacentes (Massarrojos),MASSARROJOS,Acompañamiento Viario,475.78463152,NORTE,POBLATS DEL NORD,"39.53803591696145, -0.405227218736608"
2128,99101114,Benisoda C - Manuela Estellés C,BETERO,Jardines,657.36550131,NORTE,POBLATS MARITIMS,"39.47207457941586, -0.33458380804782917"
2131,99101135,Cavite C - Los Naranjos Av,LA MALVA-ROSA,Acompañamiento Viario,4985.945859265,NORTE,POBLATS MARITIMS,"39.47468105484308, -0.32692456739022047"
2137,99101724,De la Cossa Cmno,MASSARROJOS,Acompañamiento Viario,508.109712815,NORTE,POBLATS DEL NORD,"39.54164909486936, -0.4125250087756664"
2139,99101104,Iglesia de los Ángeles Pl,CABANYAL-CANYAMELAR,Jardines,75.703880925000007,NORTE,POBLATS MARITIMS,"39.47254933011045, -0.33174177136058497"
2141,99100607,Cataluña Av,CIUTAT UNIVERSITARIA,Acompañamiento Viario,5419.04531351,NORTE,PLA DEL REIAL,"39.4780640480213, -0.354872862564564"
2147,99101322,Emilio Gascó Contell C,CIUTAT JARDI,Jardines,1886.05349524,NORTE,ALGIROS,"39.472871906933186, -0.346847630742142"
2155,99101518,Dolores Marques C - Valladolid Av,SANT LLORENS,Jardines,5416.25356652,NORTE,RASCANYA,"39.48995940646386, -0.3616370445728069"
2150,99101203,Aben al Abbar C (II),ALBORS,Jardines,1529.42480492,NORTE,CAMINS AL GRAU,"39.4669550329062, -0.3530542883375974"
2163,99101536,Duque de Mandas C (Ermita San Jerónimo),ELS ORRIOLS,Parques Urbanos,3855.23580863,NORTE,RASCANYA,"39.493122117217304, -0.36914090770622005"
2165,99100603,Blasco Ibáñez Av (II),MESTALLA,Bulevar,24647.28175675,NORTE,PLA DEL REIAL,"39.475063714214585, -0.3515309739893212"
2168,99101207,Carolina Álvarez C - Trafalgar C,LA CREU DEL GRAU,Jardines,3127.55281283,NORTE,CAMINS AL GRAU,"39.460407113611076, -0.3447218091000364"
2170,99101533,Alcañiz C,TORREFIEL,Acompañamiento Viario,133.639996365,NORTE,RASCANYA,"39.49511383495545, -0.37873845418102625"
2171,99100513,Poeta Bodría Pl,TRINITAT,Jardines,536.445150315,NORTE,SAIDIA,"39.48096967071549, -0.37137728833660366"
2175,99100533,Almazora C (Núm 40),TRINITAT,Acompañamiento Viario,83.27692016,NORTE,SAIDIA,"39.48387064634469, -0.3712532603540422"
2176,99100608,El Bachiller C y Adyacentes,JAUME ROIG,Acompañamiento Viario,1390.15559913,NORTE,PLA DEL REIAL,"39.481546268467476, -0.36099311682138324"
2177,99101531,María Teresa Oller i Benlloch (Musicóloga) C - Río Bidasoa C,TORREFIEL,Jardines,2717.599432005,NORTE,RASCANYA,"39.4978720085581, -0.37973180251594685"
2178,99101127,MartÍ Grajales C,CABANYAL-CANYAMELAR,Jardines,3697.511743455,NORTE,POBLATS MARITIMS,"39.46845787612921, -0.3335314028618998"
2181,99101130,Remonta C,CABANYAL-CANYAMELAR,Jardines,6606.998627395,NORTE,POBLATS MARITIMS,"39.47490328666188, -0.3309089478468599"
2184,99101334,Campus Dels Tarongers (II),LA CARRASCA,Acompañamiento Viario,1212.311472885,NORTE,ALGIROS,"39.47581757610598, -0.34164378926229194"
2185,99101208,Puerto Av - SerrerÍa C,AIORA,Acompañamiento Viario,259.136321445,NORTE,CAMINS AL GRAU,"39.46203445570074, -0.3388880735193779"
2189,99101343,Pintor Gonzalo Peris Pl,L'ILLA PERDUDA,Jardines,1586.404508795,NORTE,ALGIROS,"39.468372822114766, -0.3395526435125129"
2199,99100438,Valle de la Ballestera C - Marqués de San Juan C,CAMPANAR,Jardines,3161.85235596,NORTE,CAMPANAR,"39.47802785096262, -0.3990832778519055"
2201,99100527,Bautista Esteve Ximeno C,MARXALENES,Jardines,796.745789825,NORTE,SAIDIA,"39.487775879974016, -0.38415783434505696"
2202,99101427,Amparo Arce Miralles Pl,CAMI DE VERA,Acompañamiento Viario,2478.030312695,NORTE,BENIMACLET,"39.48948568126157, -0.35833355524002874"
2204,99101710,Reverendo José Valero C (Carpesa),CARPESA,Acompañamiento Viario,397.67116877,NORTE,POBLATS DEL NORD,"39.5157680442511, -0.3761644094753196"
2210,99101609,Joaquin Muñoz Peirats Pl,BENICALAP,Jardines,10567.35689108,NORTE,BENICALAP,"39.48735631082452, -0.3946697143631504"
2212,99101137,Toneleros C,EL GRAU,Jardines,1451.347511775,NORTE,POBLATS MARITIMS,"39.46006146389527, -0.33655395478741834"
2213,99101117,Doctor Lluch C,CABANYAL-CANYAMELAR,Parques Urbanos,17377.88469376,NORTE,POBLATS MARITIMS,"39.47196495680507, -0.3271905065640527"
2215,99101119,Gran Canaria C,LA MALVA-ROSA,Jardines,770.692951755,NORTE,POBLATS MARITIMS,"39.48312953621029, -0.329168144331621"
2216,99101206,Leones C - Pepe Alba C,AIORA,Jardines,2118.37709145,NORTE,CAMINS AL GRAU,"39.46818329459206, -0.34719379514555"
2217,99101145,Ingeniero Fausto Elio C,LA MALVA-ROSA,Jardines,18837.82280682,NORTE,POBLATS MARITIMS,"39.482560770893386, -0.3317937068969535"
2222,99101307,Campoamor C (II),CIUTAT JARDI,Jardines,4372.73919163,NORTE,ALGIROS,"39.47096306563141, -0.3466035156114316"
2226,99100622,Antiga Senda Senent C,MESTALLA,Jardines,1152.957687595,NORTE,PLA DEL REIAL,"39.465959914707426, -0.35819694390172035"
2227,99101517,Albocácer C - Viver C,SANT LLORENS,Jardines,4468.555870815,NORTE,RASCANYA,"39.487396078520206, -0.3641148827773601"
2236,99101805,De las Ferias Av,BENIMAMET,Acompañamiento Viario,4188.95103787,NORTE,POBLATS DE L`OEST,"39.50420834319227, -0.42513073879589003"
2243,99101401,Viejo de Alboraya Cmno,BENIMACLET,Jardines,978.23342168,NORTE,BENIMACLET,"39.48843191567601, -0.366264601813853"
2246,99101348,Agustí Alamán i Rodrigo C (Rotonda),LA CARRASCA,Acompañamiento Viario,700.942019,NORTE,ALGIROS,"39.481229928939435, -0.3341442641024569"
2259,99100437,Eduardo Soler y Pérez C - Valle de la Ballestera C,SANT PAU,Jardines,2499.418643065,NORTE,CAMPANAR,"39.478039209207424, -0.40033161440892656"
2264,99101603,Luis MartÍ Alegre Pl,CIUTAT FALLERA,Jardines,2598.949760025,NORTE,BENICALAP,"39.49855199712149, -0.39251497066870616"
2267,99101243,Doctor Manuel Candela C (I),ALBORS,Bulevar,2634.59772672,NORTE,CAMINS AL GRAU,"39.467653928467925, -0.350420144782167"
2268,99101230,Alameda Pso (Prolongación y Mediana e Isletas),PENYA-ROJA,Acompañamiento Viario,15097.49132317,NORTE,CAMINS AL GRAU,"39.45659809391096, -0.3475072963518121"
2269,99101522,Santiago Rusiñol C (Alqueria Albors),ELS ORRIOLS,Acompañamiento Viario,327.024876085,NORTE,RASCANYA,"39.497138967782746, -0.3692490119393032"
2272,99101214,Baleares Av - Lebón C,CAMI FONDO,Jardines,2215.70088761,NORTE,CAMINS AL GRAU,"39.46254530951578, -0.3516513758162002"
2275,99101627,Sierra Martes C,BENICALAP,Acompañamiento Viario,395.090358975,NORTE,BENICALAP,"39.48808722827013, -0.3927412258493705"
2277,99101210,Pobla de Farnals C,ALBORS,Acompañamiento Viario,53.404351275,NORTE,CAMINS AL GRAU,"39.46933337119834, -0.3506711429964078"
2285,99100414,Baden Powell Pl - Campanar Av,CAMPANAR,Jardines,1739.434342285,NORTE,CAMPANAR,"39.47838664571638, -0.39362328291341336"
2289,99101204,Santos Justo y Pastor C (I),ALBORS,Acompañamiento Viario,5843.517908575,NORTE,CAMINS AL GRAU,"39.47002840363182, -0.3494001514704311"
2290,99101138,Juan Jose Sister C,EL GRAU,Jardines,1236.61257474,NORTE,POBLATS MARITIMS,"39.45936249667589, -0.3339212306840033"
2295,99101329,Historiador Claudio Sánchez Albornoz C,LA VEGA BAIXA,Jardines,961.505478025,NORTE,ALGIROS,"39.47726083007573, -0.35237719270156725"
2296,99101303,Clariano C,LA VEGA BAIXA,Acompañamiento Viario,2751.30593118,NORTE,ALGIROS,"39.47849081401821, -0.3517763913313434"
2297,99101306,Campoamor C (I),L'AMISTAT,Bulevar,4666.383180185,NORTE,ALGIROS,"39.4717840577112, -0.35034120188734014"
2299,99100427,Gregorio Gea C (Edificios Prop),TENDETES,Jardines,2651.12606456,NORTE,CAMPANAR,"39.48267214460137, -0.38660742122651826"
2300,99101820,Camino Nuevo Paterna (Rotonda),BENIMAMET,Acompañamiento Viario,2451.805502005,NORTE,POBLATS DE L`OEST,"39.49713697470918, -0.41377052605390763"
2301,99101632,Manuel Meliá i Fuster (Don Pío) C,BENICALAP,Bulevar,18491.1862554,NORTE,BENICALAP,"39.497539829508504, -0.3905679917018844"
2304,99100606,Álvaro de Bazán C,JAUME ROIG,Acompañamiento Viario,346.07767277,NORTE,PLA DEL REIAL,"39.48069400245874, -0.36138552509925775"
2306,99101424,Puebla Larga C,BENIMACLET,Acompañamiento Viario,162.03615101,NORTE,BENIMACLET,"39.48353928088357, -0.35981081377134666"
2310,99101103,Isabel de Villena C (Núm 159) (Casa Museo Blasco Ibáñez),LA MALVA-ROSA,Jardines,2944.48124399,NORTE,POBLATS MARITIMS,"39.48261242778816, -0.326187677883541"
2312,99101201,Puerto Av - Islas Canarias C (Isletas),CAMI FONDO,Acompañamiento Viario,537.470010805,NORTE,CAMINS AL GRAU,"39.46472176416255, -0.3492620297040017"
2317,99100514,Covadonga Pl,TORMOS,Jardines,1002.67080774,NORTE,SAIDIA,"39.48661501484156, -0.3784345817230576"
2322,99100516,Primado Reig Av,SANT ANTONI,Acompañamiento Viario,1774.976266135,NORTE,SAIDIA,"39.48785755622185, -0.3682640824894666"
1173,99110819,FRAY JUNIPERO SERRA C (TORRENTE C - ARCHIDUQUE CARLOS C),VARA DE QUART,Jardines,2051.15745478,SUR,PATRAIX,"39.460946852497486, -0.40035563499795246"
1178,99110909,ESCULTOR FRECHINA PL,HORT DE SENABRE,Jardines,1679.942417915,SUR,JESUS,"39.451107572517074, -0.3893462502612925"
1189,99110326,SAN SEBASTIAN PL,BOTANIC,Jardines,359.70765572,SUR,EXTRAMURS,"39.47516841312514, -0.38649427709614365"
1190,99111054,RAQUEL PAYA (PEDAGOGA) PL,EN CORTS,Jardines,4235.9765,SUR,QUATRE CARRERES,"39.457187465308046, -0.3731573642474018"
1194,99110917,JAIME BELTRAN C,RAIOSA,Acompañamiento Viario,411.47587491,SUR,JESUS,"39.45675679262385, -0.3883506914588808"
1198,99111920,MOSSEN CUENCA C - MARINO VILLAMIL C,PINEDO,Jardines,895.4795132,SUR,POBLES DEL SUD,"39.42238953775378, -0.33794287353347546"
1202,99121410,JARDIN CACTUS,BENIMACLET,Parques Urbanos,1469.282607505,NORTE,BENIMACLET,"39.48623773003291, -0.3664650005362764"
1214,99122006,JARDIN DEL TURIA (TRAMO 6),CAUCE DEL TURIA,Parques Urbanos,79407.806271135,TURIA,CAUCE DEL TURIA,"39.48163645002226, -0.37770150048945883"
1217,99121531,PARQUE DE ORRIOLS,ELS ORRIOLS,Parques Urbanos,43462.41385178,NORTE,RASCANYA,"39.49319464419213, -0.3653320280237831"
1228,99110716,CIUDAD DE MISLATA - CAMINO V DE CHIRIVELLA,SOTERNES,Jardines,4929.010542335,SUR,OLIVERETA,"39.471191871499585, -0.41179954277866304"
1230,99110921,MIGUEL CATALA GOMIS (ADVOCAT) PL,SANT MARCEL.LI,Jardines,712.42883413,SUR,JESUS,"39.44312230419302, -0.3895981980945782"
1233,99122001,JARDIN DEL TURIA (TRAMO 1),CAUCE DEL TURIA,Parques Urbanos,38413.06666664,TURIA,CAUCE DEL TURIA,"39.47402343895238, -0.40442103883919983"
1234,99110121,SAN VICENTE MARTIR C (IGLESIA DE SAN MARTIN),SANT FRANCESC,Acompañamiento Viario,19.06976127,SUR,CIUTAT VELLA,"39.47336540076303, -0.3757862534568594"
1237,99111047,PEDREGUER C,MALILLA,Jardines,524.59685185,SUR,QUATRE CARRERES,"39.453281457783376, -0.3781390935037062"
1240,99121821,PALACIO DE CONGRESOS,BENIFERRI,Parques Urbanos,25230.484855765,NORTE,POBLATS DE L`OEST,"39.49699070832563, -0.4025568445458745"
1246,99111009,BERNAT DESCOLL C - POETA FEDERICO GARCIA LORCA AV,MALILLA,Jardines,668.22485539,SUR,QUATRE CARRERES,"39.45141628762181, -0.3813296596657595"
1253,99120510,PARQUE DE MARXALENES,MARXALENES,Parques Urbanos,59833.760521255,NORTE,SAIDIA,"39.48709011551136, -0.38185827863375893"
1259,99111022,ESCULTOR PASTOR PL,FONTETA  S.LUIS,Jardines,8753.718710315,SUR,QUATRE CARRERES,"39.44412643077122, -0.366979051293518"
1277,99110720,JOSE MAESTRE C - MUSICO AYLLON C,TRES FORQUES,Acompañamiento Viario,467.822897355,SUR,OLIVERETA,"39.466654794216694, -0.4036582447982747"
1281,99111921,PAI UE 1 PERI P/S2 - EL PALMAR,PALMAR,Jardines,1282.35416518,SUR,POBLES DEL SUD,"39.313421272115235, -0.31785779869833414"
1282,99111048,PERIS Y VALERO AV (MEDIANA),MONT-OLIVET,Acompañamiento Viario,1935.477535715,SUR,QUATRE CARRERES,"39.46012518146171, -0.3682058345998726"
1285,99111940,SAN AGUSTIN PL (GLORIA C - FELICIDAD CASTELLAR C),CASTELLAR-L'OLIVERAL,Jardines,205.19268363,SUR,POBLES DEL SUD,"39.42403056479658, -0.3638422784194283"
1289,99110812,DE VALENCIA PL,PATRAIX,Jardines,156.31254845,SUR,PATRAIX,"39.46367005882874, -0.3953132311019451"
1297,99110825,LA SAFOR PL,SAFRANAR,Jardines,1656.770744395,SUR,PATRAIX,"39.45977395270908, -0.3952263218488594"
1298,99111109,SANTA POLA C,NATZARET,Jardines,2947.739441725,SUR,POBLATS MARITIMS,"39.44599040293179, -0.33295016665048405"
1300,99110836,TRES FORQUES C - CHIVA C (SOBRE APARCAMIENTO),PATRAIX,Jardines,4549.03100959,SUR,PATRAIX,"39.46455755899204, -0.3906183000764425"
1303,99110102,"BLANQUERIAS - CONDE DE TRENOR, C (ALAMEDITAS DE SERRANO)",CARME,Jardines,14273.38619056,SUR,CIUTAT VELLA,"39.480248350269115, -0.3769635541607492"
1305,99122005,JARDIN DEL TURIA (TRAMO 5),CAUCE DEL TURIA,Parques Urbanos,47006.700288595,NORTE,CAUCE DEL TURIA,"39.481640817924244, -0.3820811639789972"
1316,99120210,PARQUE CENTRAL,RUSSAFA,Parques Urbanos,74975.688396825,SUR,L´EIXAMPLA,"39.45763240376989, -0.3786558185079522"
1317,99110807,DELS GREMIS C - PERIODISTA MARIANO DE CAVIA C,SANT ISIDRE,Jardines,8552.46408407,SUR,PATRAIX,"39.45305904909179, -0.40500391333356933"
1338,99110832,TORRENTE C - TRES CRUCES AV,VARA DE QUART,Jardines,5024.279175725,SUR,PATRAIX,"39.46167198446165, -0.40385799233008973"
1433,99110140,VINATEA SOBRE APARCAMIENTO,PILAR,Jardines,444.573061815,SUR,CIUTAT VELLA,"39.47141064888247, -0.3805939973233822"
1494,99122018,AIREADOR CANTARRANAS,CAUCE DEL TURIA,Parques Urbanos,2860.2094473,TURIA,CAUCE DEL TURIA,"39.45458527377732, -0.3339560931081004"
1542,99111923,PEATONAL PINEDO PSO,PINEDO,Acompañamiento Viario,3677.666686545,SUR,POBLES DEL SUD,"39.42497960807809, -0.33721561706554826"
1544,99110840,FRANCO TORMO C- PEREZ FUSTER C,PATRAIX,Jardines,2899.062117425,SUR,PATRAIX,"39.4587457427219, -0.3904787804257224"
1551,99110839,IMPRESOR MONFORT C - SALABERT C (HUERTO),PATRAIX,Parques Urbanos,380.3327024,SUR,PATRAIX,"39.462341963814346, -0.39396957597441423"
1645,99121612,JARDIN CAMINO DE MONCADA,BENICALAP,Parques Urbanos,17345.36221119,NORTE,BENICALAP,"39.49465405938591, -0.3812483690451575"
2129,99101508,Hermanos Becquer Pl,ELS ORRIOLS,Jardines,2212.411912,NORTE,RASCANYA,"39.491148573778226, -0.3689670831812132"
